time="2018-12-17T16:51:35+07:00" level=info msg="Time: 2018-12-17 09:51:35.441796814 +0000 UTC , Msg: as"
time="2018-12-17T04:54:25-05:00" level=info msg="Time: 2018-12-17 09:54:25.157132315 +0000 UTC , Msg: Humidity:60"
time="2018-12-17T04:59:53-05:00" level=info msg="Time: 2018-12-17 09:59:53.439517934 +0000 UTC , Msg: test"
time="2018-12-17T05:58:10-05:00" level=info msg="Time: 2018-12-17 10:58:10.046329882 +0000 UTC , Msg: Humidity:62"
time="2018-12-17T05:58:10-05:00" level=info msg="Time: 2018-12-17 10:58:10.185323667 +0000 UTC , Msg: Temperature: 29"
time="2018-12-17T05:58:15-05:00" level=info msg="Time: 2018-12-17 10:58:15.291637282 +0000 UTC , Msg: Humidity:56"
time="2018-12-17T05:58:15-05:00" level=info msg="Time: 2018-12-17 10:58:15.544076534 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:20-05:00" level=info msg="Time: 2018-12-17 10:58:20.536300997 +0000 UTC , Msg: Humidity:58"
time="2018-12-17T05:58:20-05:00" level=info msg="Time: 2018-12-17 10:58:20.789229361 +0000 UTC , Msg: Temperature: 29"
time="2018-12-17T05:58:25-05:00" level=info msg="Time: 2018-12-17 10:58:25.781632774 +0000 UTC , Msg: Humidity:57"
time="2018-12-17T05:58:26-05:00" level=info msg="Time: 2018-12-17 10:58:26.135345461 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:31-05:00" level=info msg="Time: 2018-12-17 10:58:31.025797818 +0000 UTC , Msg: Humidity:56"
time="2018-12-17T05:58:31-05:00" level=info msg="Time: 2018-12-17 10:58:31.404062456 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:36-05:00" level=info msg="Time: 2018-12-17 10:58:36.270520504 +0000 UTC , Msg: Humidity:56"
time="2018-12-17T05:58:36-05:00" level=info msg="Time: 2018-12-17 10:58:36.662594869 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:42-05:00" level=info msg="Time: 2018-12-17 10:58:42.106680973 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T05:58:42-05:00" level=info msg="Time: 2018-12-17 10:58:42.35619027 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:47-05:00" level=info msg="Time: 2018-12-17 10:58:47.351440924 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T05:58:47-05:00" level=info msg="Time: 2018-12-17 10:58:47.673189702 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:52-05:00" level=info msg="Time: 2018-12-17 10:58:52.671163102 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T05:58:52-05:00" level=info msg="Time: 2018-12-17 10:58:52.922821858 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:58:57-05:00" level=info msg="Time: 2018-12-17 10:58:57.915042867 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T05:58:58-05:00" level=info msg="Time: 2018-12-17 10:58:58.168788065 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:03-05:00" level=info msg="Time: 2018-12-17 10:59:03.160082999 +0000 UTC , Msg: Humidity:51"
time="2018-12-17T05:59:03-05:00" level=info msg="Time: 2018-12-17 10:59:03.417051455 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:08-05:00" level=info msg="Time: 2018-12-17 10:59:08.404963869 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T05:59:08-05:00" level=info msg="Time: 2018-12-17 10:59:08.664416696 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:13-05:00" level=info msg="Time: 2018-12-17 10:59:13.649675003 +0000 UTC , Msg: Humidity:55"
time="2018-12-17T05:59:13-05:00" level=info msg="Time: 2018-12-17 10:59:13.914263857 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:18-05:00" level=info msg="Time: 2018-12-17 10:59:18.894513709 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T05:59:19-05:00" level=info msg="Time: 2018-12-17 10:59:19.17286827 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:24-05:00" level=info msg="Time: 2018-12-17 10:59:24.13963984 +0000 UTC , Msg: Humidity:51"
time="2018-12-17T05:59:24-05:00" level=info msg="Time: 2018-12-17 10:59:24.421900707 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:29-05:00" level=info msg="Time: 2018-12-17 10:59:29.384431086 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T05:59:29-05:00" level=info msg="Time: 2018-12-17 10:59:29.668189402 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:34-05:00" level=info msg="Time: 2018-12-17 10:59:34.629457478 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T05:59:35-05:00" level=info msg="Time: 2018-12-17 10:59:35.147017293 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:39-05:00" level=info msg="Time: 2018-12-17 10:59:39.874779939 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T05:59:40-05:00" level=info msg="Time: 2018-12-17 10:59:40.409630189 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:45-05:00" level=info msg="Time: 2018-12-17 10:59:45.119258451 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T05:59:45-05:00" level=info msg="Time: 2018-12-17 10:59:45.654876598 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:50-05:00" level=info msg="Time: 2018-12-17 10:59:50.413432845 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T05:59:50-05:00" level=info msg="Time: 2018-12-17 10:59:50.902357823 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T05:59:55-05:00" level=info msg="Time: 2018-12-17 10:59:55.657610045 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T05:59:56-05:00" level=info msg="Time: 2018-12-17 10:59:56.152874812 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:00:00-05:00" level=info msg="Time: 2018-12-17 11:00:00.906192411 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:00:01-05:00" level=info msg="Time: 2018-12-17 11:00:01.471606217 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:00:06-05:00" level=info msg="Time: 2018-12-17 11:00:06.154561321 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:06-05:00" level=info msg="Time: 2018-12-17 11:00:06.720681341 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:00:11-05:00" level=info msg="Time: 2018-12-17 11:00:11.405460461 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:00:11-05:00" level=info msg="Time: 2018-12-17 11:00:11.967035104 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:16-05:00" level=info msg="Time: 2018-12-17 11:00:16.650567817 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:17-05:00" level=info msg="Time: 2018-12-17 11:00:17.216231383 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:21-05:00" level=info msg="Time: 2018-12-17 11:00:21.898432456 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:22-05:00" level=info msg="Time: 2018-12-17 11:00:22.462795156 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:27-05:00" level=info msg="Time: 2018-12-17 11:00:27.144935041 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:27-05:00" level=info msg="Time: 2018-12-17 11:00:27.713122714 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:32-05:00" level=info msg="Time: 2018-12-17 11:00:32.387241615 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:32-05:00" level=info msg="Time: 2018-12-17 11:00:32.958555508 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:37-05:00" level=info msg="Time: 2018-12-17 11:00:37.630028812 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:38-05:00" level=info msg="Time: 2018-12-17 11:00:38.206418419 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:00:42-05:00" level=info msg="Time: 2018-12-17 11:00:42.876675105 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:43-05:00" level=info msg="Time: 2018-12-17 11:00:43.456519142 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:48-05:00" level=info msg="Time: 2018-12-17 11:00:48.123775534 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:00:48-05:00" level=info msg="Time: 2018-12-17 11:00:48.702274176 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:00:53-05:00" level=info msg="Time: 2018-12-17 11:00:53.36631111 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:00:53-05:00" level=info msg="Time: 2018-12-17 11:00:53.950936238 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:00:58-05:00" level=info msg="Time: 2018-12-17 11:00:58.609551669 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:00:59-05:00" level=info msg="Time: 2018-12-17 11:00:59.200846462 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:01:03-05:00" level=info msg="Time: 2018-12-17 11:01:03.85660028 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:01:04-05:00" level=info msg="Time: 2018-12-17 11:01:04.44927156 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:01:09-05:00" level=info msg="Time: 2018-12-17 11:01:09.112588465 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:01:09-05:00" level=info msg="Time: 2018-12-17 11:01:09.693260537 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:01:14-05:00" level=info msg="Time: 2018-12-17 11:01:14.357186176 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:01:14-05:00" level=info msg="Time: 2018-12-17 11:01:14.941319329 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:01:19-05:00" level=info msg="Time: 2018-12-17 11:01:19.603303796 +0000 UTC , Msg: Humidity:51"
time="2018-12-17T06:01:20-05:00" level=info msg="Time: 2018-12-17 11:01:20.189664044 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:01:24-05:00" level=info msg="Time: 2018-12-17 11:01:24.848228589 +0000 UTC , Msg: Humidity:55"
time="2018-12-17T06:01:25-05:00" level=info msg="Time: 2018-12-17 11:01:25.439893361 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:01:30-05:00" level=info msg="Time: 2018-12-17 11:01:30.092936297 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:01:30-05:00" level=info msg="Time: 2018-12-17 11:01:30.685552974 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:01:35-05:00" level=info msg="Time: 2018-12-17 11:01:35.337542298 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:01:35-05:00" level=info msg="Time: 2018-12-17 11:01:35.932978167 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:01:40-05:00" level=info msg="Time: 2018-12-17 11:01:40.587163458 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:01:41-05:00" level=info msg="Time: 2018-12-17 11:01:41.181163265 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:01:45-05:00" level=info msg="Time: 2018-12-17 11:01:45.835567936 +0000 UTC , Msg: Humidity:51"
time="2018-12-17T06:01:46-05:00" level=info msg="Time: 2018-12-17 11:01:46.428736364 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:01:51-05:00" level=info msg="Time: 2018-12-17 11:01:51.087992134 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:01:51-05:00" level=info msg="Time: 2018-12-17 11:01:51.67730795 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:01:56-05:00" level=info msg="Time: 2018-12-17 11:01:56.330700778 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:01:56-05:00" level=info msg="Time: 2018-12-17 11:01:56.925060532 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:01-05:00" level=info msg="Time: 2018-12-17 11:02:01.57509024 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:02:02-05:00" level=info msg="Time: 2018-12-17 11:02:02.181248858 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:02:06-05:00" level=info msg="Time: 2018-12-17 11:02:06.820026577 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:02:07-05:00" level=info msg="Time: 2018-12-17 11:02:07.432386339 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:02:12-05:00" level=info msg="Time: 2018-12-17 11:02:12.064858197 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:02:12-05:00" level=info msg="Time: 2018-12-17 11:02:12.680460837 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:17-05:00" level=info msg="Time: 2018-12-17 11:02:17.309914861 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:02:17-05:00" level=info msg="Time: 2018-12-17 11:02:17.917548491 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:22-05:00" level=info msg="Time: 2018-12-17 11:02:22.554631259 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:02:23-05:00" level=info msg="Time: 2018-12-17 11:02:23.237183439 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:27-05:00" level=info msg="Time: 2018-12-17 11:02:27.799689601 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:28-05:00" level=info msg="Time: 2018-12-17 11:02:28.487980846 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:33-05:00" level=info msg="Time: 2018-12-17 11:02:33.044581805 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:33-05:00" level=info msg="Time: 2018-12-17 11:02:33.733485904 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:38-05:00" level=info msg="Time: 2018-12-17 11:02:38.289271297 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:38-05:00" level=info msg="Time: 2018-12-17 11:02:38.980805066 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:43-05:00" level=info msg="Time: 2018-12-17 11:02:43.534192048 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:44-05:00" level=info msg="Time: 2018-12-17 11:02:44.228595654 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:02:48-05:00" level=info msg="Time: 2018-12-17 11:02:48.779313286 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:49-05:00" level=info msg="Time: 2018-12-17 11:02:49.476715597 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:54-05:00" level=info msg="Time: 2018-12-17 11:02:54.024260468 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:54-05:00" level=info msg="Time: 2018-12-17 11:02:54.730734705 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:02:59-05:00" level=info msg="Time: 2018-12-17 11:02:59.269238188 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:02:59-05:00" level=info msg="Time: 2018-12-17 11:02:59.98527419 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:03:04-05:00" level=info msg="Time: 2018-12-17 11:03:04.513978731 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:03:05-05:00" level=info msg="Time: 2018-12-17 11:03:05.244474963 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:03:09-05:00" level=info msg="Time: 2018-12-17 11:03:09.758434267 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:03:10-05:00" level=info msg="Time: 2018-12-17 11:03:10.495130845 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:03:15-05:00" level=info msg="Time: 2018-12-17 11:03:15.003457873 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:03:15-05:00" level=info msg="Time: 2018-12-17 11:03:15.745227155 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:03:20-05:00" level=info msg="Time: 2018-12-17 11:03:20.249177841 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:03:20-05:00" level=info msg="Time: 2018-12-17 11:03:20.987794825 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:03:25-05:00" level=info msg="Time: 2018-12-17 11:03:25.501792396 +0000 UTC , Msg: Humidity:55"
time="2018-12-17T06:03:26-05:00" level=info msg="Time: 2018-12-17 11:03:26.235875134 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:03:30-05:00" level=info msg="Time: 2018-12-17 11:03:30.751162337 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:03:31-05:00" level=info msg="Time: 2018-12-17 11:03:31.485523764 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:03:36-05:00" level=info msg="Time: 2018-12-17 11:03:36.000147042 +0000 UTC , Msg: Humidity:52"
time="2018-12-17T06:03:36-05:00" level=info msg="Time: 2018-12-17 11:03:36.733630838 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:03:41-05:00" level=info msg="Time: 2018-12-17 11:03:41.254873918 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:03:41-05:00" level=info msg="Time: 2018-12-17 11:03:41.979373978 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:03:46-05:00" level=info msg="Time: 2018-12-17 11:03:46.498785493 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:03:47-05:00" level=info msg="Time: 2018-12-17 11:03:47.22727836 +0000 UTC , Msg: Temperature: 27"
